accession,awn,pc1,pc2,pc3,pc4,pc5
AL_MAD_1_S3_L001,0,0.12103635,-0.6032774,0.1523473,0.7334703,-0.8534467
AL_MAD_2_S4_L001,0,-2.1792343,1.5227408,0.18509842,-1.1343054,0.533501
AL_TUS_1-1_S1_L001,0,-2.2706182,1.5338943,-0.23308833,-1.2853212,0.90389067
AL_TUS_2-1_S2_L001,0,-1.9233259,1.0738055,0.36009628,-0.01790835,0.36047444
AR_WAS_2-1_S40_L001,0,-1.1803126,0.42068398,0.15417007,0.6568319,-0.25787917
AR_WAS_2-2_S41_L001,0,-2.110445,1.167507,0.45646223,-0.46461916,0.74631315
CT_NH_1-1_S33_L001,1,0.76271725,-0.102337636,0.23587348,-0.56038433,-0.014622833
CT_NH_2-3_S34_L001,1,1.9704411,1.1382107,0.13239373,0.76596814,-0.024851367
GA_BAR_2-1_S5_L001,0,-1.1666594,0.29271284,0.15374163,0.68145204,-0.32050103
GA_BAR_2-6_S6_L001,0,-2.0300353,1.1223474,0.57159716,-0.14759856,0.4161285
IL_JOHN_1-3_S42_L001,0,-0.28736103,-0.2466254,-0.9310084,0.06373866,-0.59839225
IL_JOHN_2-1_S43_L001,0,-1.5192696,0.6844644,0.36123312,0.5215062,-0.1481069
KY_MAD_1-1_S15_L001,0,0.12103635,-0.6032774,0.1523473,0.7334703,-0.8534467
KY_MAD_1-2_S16_L001,0,-0.42428607,-0.060507674,-1.6291548,-0.5292846,-0.2640734
MD_GR_1-1_S58_L001,1,2.6779702,1.993557,0.3646864,-0.016539048,0.1977249
MD_GR_2-1_S59_L001,1,2.5963845,1.8089426,0.141242,1.0403237,0.8170041
MD_HOW_1-2_S25_L001,1,0.07778174,-0.37641597,-4.133342,-0.3717373,2.080453
MD_HOW_2-1_S26_L001,1,0.8718846,-0.7599988,-0.005946952,0.4137814,1.8510151
NC_SP_2-1_S13_L001,0,-1.8722421,1.0374011,0.41567445,0.25757718,0.001108636
NC_SP_2-6_S14_L001,0,0.69852644,-0.48397583,0.51026565,-0.26323065,0.47862184
NJ_CUMB_1-1_S31_L001,1,0.38711065,-1.7033169,0.6820339,-0.053018235,0.4206028
NJ_CUMB_2-5_S32_L001,1,0.34887823,-1.5489782,1.0432315,-0.21918279,0.53260636
NY_SAR_1-4_S35_L001,1,0.3869574,-1.6330944,0.67821515,-0.043547817,0.62476027
NY_SAR_2-3_S36_L001,1,0.15113834,-0.971286,0.057842415,0.7052916,-0.46699056
NY_TOM_6M_1-2_S38_L001,1,1.2810329,0.25602543,0.15359749,-2.5089455,-0.43092477
NY_TOM_6M_1-7_S39_L001,1,0.12103635,-0.6032774,0.1523473,0.7334703,-0.8534467
NY_TOM_IC_1-1_S37_L001,1,0.2744962,-1.0784643,-0.46725976,0.24343717,-0.026089577
OH_ATH_1-3_S23_L001,1,0.91805154,-0.45063543,0.3669586,-0.10894976,0.45778504
OH_ATH_2-4_S24_L001,1,0.12103635,-0.6032774,0.1523473,0.7334703,-0.8534467
OH_LAW_1-4_S48_L001,0,-2.2727785,1.3590325,0.14785595,-0.46905082,0.022624377
